"Data","B.MAR /
ARNO
HOESCHEL","KOXIXOS /
PÇA SEIXAS
NETO","MAURO RAMOS /
VITOR KONDER","ESTEVES JUNIOR /
RIO BRANCO","ALM. LAMEGO /
ARNO HOESCHEL","MÉDIA"
"01/02/2020",55448,54322,16385,11248,13373,30155.2
"02/02/2020",49490,55165,15794,8582,11986,28203.4
"03/02/2020",65877,68245,23867,19395,16942,38865.2
"04/02/2020",74759,83739,28017,23996,19095,45921.2
"05/02/2020",61577,76353,26324,23337,18649,41248
"06/02/2020",70609,80874,27108,23948,17465,44000.8
"07/02/2020",71022,77470,25863,24363,19933,43730.2
"08/02/2020",63698,61167,17734,12823,14576,33999.6
"09/02/2020",61312,57091,16840,8714,13021,31395.6
"10/02/2020",70931,78899,27999,23057,19115,44000.2
"11/02/2020",66012,69333,23832,21484,19375,40007.2
"12/02/2020",64934,80806,27110,23421,19497,43153.6
"13/02/2020",62386,72719,25989,23419,20002,40903
"14/02/2020",70191,75896,24750,22763,21205,42961
"15/02/2020",58356,66333,18749,12810,15624,34374.4
"16/02/2020",49884,54450,15372,7919,12193,27963.6
"17/02/2020",63287,68656,22474,20971,18950,38867.6
"18/02/2020",54775,70647,22950,20460,19566,37679.6
"19/02/2020",57380,74753,22812,22812,19385,39428.4
"20/02/2020",58295,75208,28759,22743,20140,41029
"21/02/2020",64418,89407,33489,24039,20611,46392.8
"22/02/2020",60032,71593,26142,18423,17673,38772.6
"23/02/2020",59601,57297,21362,10282,13075,32323.4
"24/02/2020",61940,60205,18247,11159,12973,32904.8
"25/02/2020",63924,64308,19714,8980,11626,33710.4
"26/02/2020",70863,78703,25115,18689,15571,41788.2
"27/02/2020",68218,67133,26226,21215,19384,40435.2
"28/02/2020",59648,73135,25183,21414,20143,39904.6
"29/02/2020",54492,62212,19034,11398,14558,32338.8
"01/03/2020",51111,52981,16069,946,13927,27006.8
"02/03/2020",67219,72637,27652,25067,19628,42440.6
"03/03/2020",72541,74318,2962,24634,19974,38885.8
"04/03/2020",59621,67779,21762,27181,19905,39249.6
"05/03/2020",67978,70612,2181,26967,2049,33957.4
"06/03/2020",75982,76496,29479,22848,20259,45012.8
"07/03/2020",69964,61731,20192,11685,15721,35858.6
"08/03/2020",53832,51895,18016,8619,13249,29122.2
"09/03/2020",64654,66534,26741,21286,20398,39922.6
"10/03/2020",55796,66094,25879,2048,19587,33880.8
"11/03/2020",6483,66548,25435,20944,20315,27945
"12/03/2020",57329,65413,25859,20759,2004,34272.8
"13/03/2020",61802,84096,27524,21001,20408,42966.2
"14/03/2020",54036,66014,18378,11042,14565,32807
"15/03/2020",4536,54805,17551,7555,12791,19447.6
"16/03/2020",65575,77041,26741,217,17379,37390.6
"17/03/2020",58123,71238,23903,18976,13995,37247
"18/03/2020",45997,56134,17015,16565,10343,29210.8
"19/03/2020",2950,3191,1161,831,725,1771.6
"20/03/2020",2839,2935,959,712,633,1615.6
"21/03/2020",1877,1882,810,410,421,1080
"22/03/2020",1520,1361,729,343,346,859.8
"23/03/2020",1513,1728,805,508,415,993.8
"24/03/2020",23054,25711,1015,7401,6724,12781
"25/03/2020",23474,25572,9059,6230,5914,14049.8
"26/03/2020",24329,26219,8958,5928,5746,14236
"27/03/2020",28450,30364,10006,6962,7062,16568.8
"28/03/2020",22686,24817,8752,4154,4531,12988
"29/03/2020",17471,22274,8198,3294,3716,10990.6
"30/03/2020",17503,30798,10952,7399,6494,14629.2
"31/03/2020",18101,24040,8389,5897,5721,12429.6
"01/04/2020",26617,35109,11311,8528,7130,17739
"02/04/2020",28149,37093,11938,8894,6875,18589.8
"03/04/2020",30117,36415,12356,9820,8919,19525.4
"04/04/2020",25916,28425,8930,4986,5651,14781.6
"05/04/2020",23664,24039,7897,3592,4765,12791.4
"06/04/2020",39878,44911,12646,11305,8064,23360.8
"07/04/2020",38851,43419,14850,11654,8914,23537.6
"08/04/2020",33316,43245,15634,12044,10388,22925.4
"09/04/2020",41075,43296,14629,12836,10914,24550
"10/04/2020",25228,26676,8961,4723,5311,14179.8
"11/04/2020",32089,32163,9994,6409,7297,17590.4
"12/04/2020",28703,26514,7570,3675,5405,14373.4
"13/04/2020",39993,42364,12768,12538,10380,23608.6
"14/04/2020",39822,45752,13854,13226,9931,24517
"15/04/2020",41772,42868,13282,12341,10503,24153.2
"16/04/2020",36691,43601,13492,12413,10531,23345.6
"17/04/2020",44896,47468,15119,12767,10980,26246
"18/04/2020",29068,35328,10450,6244,6682,17554.4
"19/04/2020",24019,28956,9044,4457,6133,14521.8
"20/04/2020",44126,45251,13362,13174,10903,25363.2
"21/04/2020",26557,31215,8320,4797,5987,15375.2
"22/04/2020",45226,47420,15036,13927,11558,26633.4
"23/04/2020",46991,48941,14934,13748,11579,27238.6
"24/04/2020",51455,52074,15425,13890,12125,28993.8
"25/04/2020",33936,40132,11770,7140,7762,20148
"26/04/2020",33302,32660,8798,3899,5695,16870.8
"27/04/2020",48152,54493,17418,14676,10791,29106
"28/04/2020",51554,53829,15197,15281,11453,29462.8
"29/04/2020",49381,49733,17166,14403,11796,28495.8
"30/04/2020",56808,63748,20183,15809,12229,33755.4
"01/05/2020",37277,38192,9930,4978,5995,19274.4
"02/05/2020",39653,40349,12404,7940,7799,21629
"03/05/2020",35896,35528,10321,4372,6250,18473.4
"04/05/2020",46591,54729,15913,14453,12956,28928.4
"05/05/2020",54070,61856,19912,16327,11663,32765.6
"06/05/2020",57833,68557,20461,18087,12311,35449.8
"07/05/2020",52817,49941,18998,15751,13589,30219.2
"08/05/2020",50459,51480,18497,16120,13729,30057
"09/05/2020",40470,47901,12984,8541,9290,23837.2
"10/05/2020",34813,38917,11596,4828,7183,15631
"11/05/2020",51501,50211,16353,14739,11915,28943.8
"12/05/2020",46273,56760,18309,14872,11123,29467.4
"13/05/2020",55216,65306,19591,16542,11165,33564
"14/05/2020",53757,56414,20301,15802,12885,31831.8
"15/05/2020",59890,65383,19901,16197,12852,34844.6
"16/05/2020",46149,44873,12770,7765,8749,24061.2
"17/05/2020",39480,37578,8894,4368,6902,19444.4
"18/05/2020",53051,52041,16847,14745,12365,29809.8
"19/05/2020",47679,56295,17182,15225,12611,29798.4
"20/05/2020",53768,59436,19753,15953,12829,32347.8
"21/05/2020",55074,59743,20091,16018,12826,32750.4
"22/05/2020",61608,68032,22505,17285,13534,36592.8
"23/05/2020",42326,48669,14115,8347,9413,24574
"24/05/2020",40426,40663,10892,4777,7212,20794
"25/05/2020",55826,55048,18662,10984,12795,30663
"26/05/2020",56079,56945,18224,15539,13303,32018
"27/05/2020",49526,58250,19590,16442,12960,31353.6
"28/05/2020",49858,60097,19207,15651,13257,31614
"29/05/2020",60556,64149,20318,16201,14514,35147.6
"30/05/2020",50727,50295,13679,8024,9134,26371.8
"31/05/2020",42356,40058,11095,4241,7291,21008.2
"01/06/2020",58101,68893,22055,16899,11426,35474.8
"02/06/2020",58616,66198,21522,16932,12812,35216
"03/06/2020",58538,62693,20933,16569,13437,34434
"04/06/2020",50959,70360,21581,17315,12795,34602
"05/06/2020",65988,86002,24327,18995,14549,41972.2
"06/06/2020",51682,60617,15500,9428,10908,29627
"07/06/2020",40273,42696,11697,5123,8355,21628.8
"08/06/2020",52802,60104,19666,16168,13868,32521.6
"09/06/2020",40590,69245,21398,18335,13657,32645
"10/06/2020",50551,84401,25769,21366,14639,39345.2
"11/06/2020",43054,46302,8107,6512,8838,22562.6
"12/06/2020",61271,63867,18903,14101,14477,34523.8
"13/06/2020",54713,55419,7861,12249,8998,27848
"14/06/2020",46211,47189,7018,4687,7116,22444.2
"15/06/2020",62061,69917,22181,17375,12813,36869.4
"16/06/2020",69668,83029,22252,21254,14536,42147.8
"17/06/2020",64617,69058,23002,18490,13960,37825.4
"18/06/2020",65272,70220,23425,17904,14519,38268
"19/06/2020",61830,61590,19130,16248,14820,34723.6
"20/06/2020",46618,48451,12025,8279,9492,24973
"21/06/2020",40188,43167,8693,4754,8389,21038.2
"22/06/2020",49512,54392,19959,15636,12150,30329.8
"23/06/2020",40557,46238,14983,12120,9842,24748
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
